rank,meigara,kuramoto,detail_url,cluster
90,越乃景虎,諸橋酒造,http://www.sakeno.com/meigara/570,3
90,菊水,菊水酒造（新潟県）,http://www.sakeno.com/meigara/136,2
90,亀泉,亀泉酒造,http://www.sakeno.com/meigara/367,3
90,銀嶺立山,立山酒造,http://www.sakeno.com/meigara/634,3
90,三千盛,三千盛,http://www.sakeno.com/meigara/699,3
90,尾瀬の雪どけ,龍神酒造,http://www.sakeno.com/meigara/473,3
90,ひこ孫,神亀酒造,http://www.sakeno.com/meigara/487,3
90,庭のうぐいす,山口酒造場,http://www.sakeno.com/meigara/263,3
101,麒麟山,麒麟山酒造,http://www.sakeno.com/meigara/135,3
101,来福,来福酒造,http://www.sakeno.com/meigara/447,3
101,乾坤一,大沼酒造店,http://www.sakeno.com/meigara/1153,0
101,墨廼江,墨廼江酒造,http://www.sakeno.com/meigara/183,3
101,石鎚,石鎚酒造,http://www.sakeno.com/meigara/348,3
101,初亀,初亀醸造,http://www.sakeno.com/meigara/728,3
101,初孫,東北銘醸,http://www.sakeno.com/meigara/228,2
101,早瀬浦,三宅彦右衛門酒造,http://www.sakeno.com/meigara/675,3
101,羽根屋,富美菊酒造,http://www.sakeno.com/meigara/1598,3
101,天の戸,浅舞酒造,http://www.sakeno.com/meigara/210,3
101,佐久乃花,佐久の花酒造,http://www.sakeno.com/meigara/1131,3
101,幻,中尾醸造,http://www.sakeno.com/meigara/1042,3
113,郷乃誉,須藤本家（茨城県）,http://www.sakeno.com/meigara/1081,0
113,諏訪泉,諏訪酒造,http://www.sakeno.com/meigara/949,3
113,李白,李白酒造,http://www.sakeno.com/meigara/964,3
113,酔心,酔心山根本店,http://www.sakeno.com/meigara/1044,3
113,長珍,長珍酒造,http://www.sakeno.com/meigara/1594,3
113,呉春,呉春,http://www.sakeno.com/meigara/801,3
113,一白水成,福禄寿酒造,http://www.sakeno.com/meigara/1753,0
113,不動,鍋店,http://www.sakeno.com/meigara/1599,3
113,繁桝,高橋商店,http://www.sakeno.com/meigara/278,3
113,蒼空,藤岡酒造,http://www.sakeno.com/meigara/1087,3
113,雪中梅,丸山酒造場,http://www.sakeno.com/meigara/610,3
113,喜久酔,青島酒造,http://www.sakeno.com/meigara/722,3
113,泉川,廣木酒造本店,http://www.sakeno.com/meigara/408,3
113,車坂,吉村秀雄商店,http://www.sakeno.com/meigara/1353,3
113,梅乃宿,梅乃宿酒造,http://www.sakeno.com/meigara/899,3
128,いづみ橋,泉橋酒造,http://www.sakeno.com/meigara/499,3
128,大信州,大信州酒造,http://www.sakeno.com/meigara/126,3
128,龍力,本田商店,http://www.sakeno.com/meigara/871,0
128,嘉美心,嘉美心酒造,http://www.sakeno.com/meigara/996,3
128,残草蓬莱,大矢孝酒造,http://www.sakeno.com/meigara/1174,3
128,栄光冨士,冨士酒造,http://www.sakeno.com/meigara/72,3
128,貴,永山本家酒造場,http://www.sakeno.com/meigara/1085,0
128,水芭蕉,永井酒造,http://www.sakeno.com/meigara/99,3
128,萩の鶴,萩野酒造,http://www.sakeno.com/meigara/179,3
128,篠峯,千代酒造,http://www.sakeno.com/meigara/1514,3
128,日置桜,山根酒造場,http://www.sakeno.com/meigara/950,3
128,龍神丸,高垣酒造,http://www.sakeno.com/meigara/1529,3
128,北雪,北雪酒造,http://www.sakeno.com/meigara/616,3
128,鷹勇,大谷酒造,http://www.sakeno.com/meigara/957,3
128,上善如水,白瀧酒造,http://www.sakeno.com/meigara/588,1
128,たかちよ,高千代酒造,http://www.sakeno.com/meigara/2899,3
144,宗玄,宗玄酒造,http://www.sakeno.com/meigara/1055,3
144,小鼓,西山酒造場,http://www.sakeno.com/meigara/875,3
144,鯉川,鯉川酒造,http://www.sakeno.com/meigara/71,3
144,不老泉,上原酒造,http://www.sakeno.com/meigara/1119,3
144,磐城壽,鈴木酒造店（福島県）,http://www.sakeno.com/meigara/1337,3
144,群馬泉,島岡酒造,http://www.sakeno.com/meigara/474,3
144,龍勢,藤井酒造（広島県）,http://www.sakeno.com/meigara/1039,3
144,鏡山,小江戸鏡山酒造,http://www.sakeno.com/meigara/1369,3
144,花垣,南部酒造場,http://www.sakeno.com/meigara/670,3
144,白岳仙,安本酒造,http://www.sakeno.com/meigara/1061,3
144,笑四季,笑四季酒造,http://www.sakeno.com/meigara/784,0
144,萩乃露,福井弥平商店,http://www.sakeno.com/meigara/800,3
144,醴泉,玉泉堂酒造,http://www.sakeno.com/meigara/691,3
144,花泉,花泉酒造,http://www.sakeno.com/meigara/1221,3
144,大山,加藤嘉八郎酒造,http://www.sakeno.com/meigara/236,3
144,鳴海,東灘醸造,http://www.sakeno.com/meigara/1994,3
144,帰山,千曲錦酒造,http://www.sakeno.com/meigara/1750,3
144,賀茂金秀,金光酒造（広島県）,http://www.sakeno.com/meigara/1233,3
144,奥の松,奥の松酒造,http://www.sakeno.com/meigara/382,2
144,宮寒梅,寒梅酒造（宮城県）,http://www.sakeno.com/meigara/46,3
144,るみ子の酒,森喜酒造場,http://www.sakeno.com/meigara/775,3
144,甲子,飯沼本家,http://www.sakeno.com/meigara/105,3
144,誠鏡,中尾醸造,http://www.sakeno.com/meigara/1041,3
144,旭日,藤居本家,http://www.sakeno.com/meigara/795,3
168,あぶくま,玄葉本店,http://www.sakeno.com/meigara/388,3
168,町田酒造,町田酒造店（群馬県前橋市）,http://www.sakeno.com/meigara/1569,3
168,春霞,栗林酒造店,http://www.sakeno.com/meigara/192,3
168,賀儀屋,成龍酒造,http://www.sakeno.com/meigara/1536,3
168,川鶴,川鶴酒造,http://www.sakeno.com/meigara/337,3
168,明鏡止水,大澤酒造,http://www.sakeno.com/meigara/525,3
168,洗心,朝日酒造（新潟県）,http://www.sakeno.com/meigara/1171,3
168,出雲富士,富士酒造,http://www.sakeno.com/meigara/971,3
168,会津娘,高橋庄作酒造店,http://www.sakeno.com/meigara/80,3
168,住吉,樽平酒造,http://www.sakeno.com/meigara/247,3
168,天吹,天吹酒造,http://www.sakeno.com/meigara/288,3
168,会津中将,鶴乃江酒造,http://www.sakeno.com/meigara/396,3
168,豊賀,高沢酒造,http://www.sakeno.com/meigara/1601,3
168,美丈夫,浜川商店,http://www.sakeno.com/meigara/375,3
168,菊正宗,菊正宗酒造,http://www.sakeno.com/meigara/842,3
168,富久長,今田酒造本店,http://www.sakeno.com/meigara/1040,3
168,れいざん,山村酒造,http://www.sakeno.com/meigara/308,2
168,一本義,一本義久保本店,http://www.sakeno.com/meigara/1083,3
168,竹鶴,竹鶴酒造,http://www.sakeno.com/meigara/1036,3
168,丹沢山,川西屋酒造店,http://www.sakeno.com/meigara/498,3
168,奥,山崎合資,http://www.sakeno.com/meigara/1253,3
168,十九,尾澤酒造場,http://www.sakeno.com/meigara/1106,3
168,長陽福娘,岩崎酒造,http://www.sakeno.com/meigara/1742,3
168,白龍（福井県）,吉田酒造（福井県）,http://www.sakeno.com/meigara/1288,3
168,美寿々,美寿々酒造,http://www.sakeno.com/meigara/1070,1
168,三連星,美冨久酒造,http://www.sakeno.com/meigara/1653,3
168,天寿,天寿酒造,http://www.sakeno.com/meigara/197,3
168,天覧山,五十嵐酒造,http://www.sakeno.com/meigara/1120,3
168,酔右衛門,川村酒造店,http://www.sakeno.com/meigara/1269,3
168,大倉,大倉本家,http://www.sakeno.com/meigara/1273,3
168,高千代,高千代酒造,http://www.sakeno.com/meigara/1442,3
168,相模灘,久保田酒造（神奈川県）,http://www.sakeno.com/meigara/1241,3
168,七賢,山梨銘醸,http://www.sakeno.com/meigara/506,3
