	rank,meigara,kuramoto,detail_url,highscore_words
61,天明,曙酒造,http://www.sakeno.com/meigara/404,優しい 暖かい 憎い 多い 強い
61,満寿泉,桝田酒造店,http://www.sakeno.com/meigara/621,旨い 暑い 上手い やわらかい 凄い
64,勝駒,清都酒造場,http://www.sakeno.com/meigara/625,こい 難い すごい 小さい やわらかい
64,蓬莱泉,関谷醸造,http://www.sakeno.com/meigara/756,ない いい 良い 美味い よい
64,東光,小嶋総本店,http://www.sakeno.com/meigara/240,良い やすい いい ない 美味しい
64,雅山流,新藤酒造店,http://www.sakeno.com/meigara/245,うまい 良い 美味い いい にがい
64,緑川,緑川酒造,http://www.sakeno.com/meigara/584,イイ ない いい 優しい がたい
64,正雪,神沢川酒造場,http://www.sakeno.com/meigara/1102,狭い 清々しい やわらかい よい 強い
70,まんさくの花,日の丸醸造,http://www.sakeno.com/meigara/206,物珍しい よい 瑞々しい やすい いい
70,飛良泉,飛良泉本舗,http://www.sakeno.com/meigara/196,心地よい 悪い 素晴らしい 味わい深い 暑い
70,七本槍,冨田酒造,http://www.sakeno.com/meigara/1211,野太い 良い 長い 男らしい 逞しい
70,澤乃井,小澤酒造,http://www.sakeno.com/meigara/112,ない ばっちい 羨ましい 図太い 良い
70,遊穂,御祖酒造,http://www.sakeno.com/meigara/1300,すっぱい よい 旨い つよい あまい
70,あさ開,あさ開,http://www.sakeno.com/meigara/27,あさい 辛い 良い 甘い やすい
70,姿,飯沼銘醸,http://www.sakeno.com/meigara/1616,旨い 眩い ほろ苦い 大人しい 素晴らしい
77,南,南酒造場,http://www.sakeno.com/meigara/378,ものすごい 甘辛い 美味しい 多い 良い
77,宝剣,宝剣酒造,http://www.sakeno.com/meigara/1020,慌ただしい 良い 柔らかい 淡い 小さい
77,大那,菊の里酒造,http://www.sakeno.com/meigara/1473,いやらしい 涼しい 優しい 鋭い 暑い
77,越乃寒梅,石本酒造,http://www.sakeno.com/meigara/1169,水っぽい 淡い やすい 愉しい 旨い
77,春鹿,今西清兵衛商店,http://www.sakeno.com/meigara/887,旨い カッコイイ 上手い 不味い 丸い
77,常きげん,鹿野酒造,http://www.sakeno.com/meigara/647,旨い くどい 多い 濃い すごい
77,五橋,酒井酒造,http://www.sakeno.com/meigara/928,っぽい 美味い 気持ち良い いい やわらかい
77,加賀鳶,福光屋,http://www.sakeno.com/meigara/641,くい ない 良い 甘い 美味しい
77,国権,国権酒造,http://www.sakeno.com/meigara/391,いい 良い 好い 温かい 野太い
77,刈穂,刈穂酒造,http://www.sakeno.com/meigara/198,無い 旨い 良い 辛い 甘辛い
77,松の司,松瀬酒造,http://www.sakeno.com/meigara/793,忙しい 分厚い ありがたい 明るい 怖い
77,ロ万,花泉酒造,http://www.sakeno.com/meigara/1618,うつくしい 甘い 厳しい 酸っぱい 良い
77,剣菱,剣菱酒造,http://www.sakeno.com/meigara/843,甘い 欲しい いい 旨い よい
90,綿屋,金の井酒造,http://www.sakeno.com/meigara/1546,濃い 欲しい 安い うまい やすい
90,山間,新潟第一酒造,http://www.sakeno.com/meigara/1517,良い 涼しい もったいない 上手い 新しい
90,秀鳳,秀鳳酒造場,http://www.sakeno.com/meigara/217,良い 美味しい 旨い 甘い 早い
90,越乃景虎,諸橋酒造,http://www.sakeno.com/meigara/570,淡い こい やすい 良い ない
90,菊水,菊水酒造（新潟県）,http://www.sakeno.com/meigara/136,淡い いい 野暮ったい 良い 美味しい
90,亀泉,亀泉酒造,http://www.sakeno.com/meigara/367,甘い ない 良い おいしい 美味しい
90,銀嶺立山,立山酒造,http://www.sakeno.com/meigara/634,美味しい 程よい 熱い ない 楽しい
90,三千盛,三千盛,http://www.sakeno.com/meigara/699,良い 面白い 長い いい 美味しい
90,尾瀬の雪どけ,龍神酒造,http://www.sakeno.com/meigara/473,うすい 良い やわらかい 若い やすい
90,ひこ孫,神亀酒造,http://www.sakeno.com/meigara/487,楽しい 良い 旨い 切ない 手軽い
90,庭のうぐいす,山口酒造場,http://www.sakeno.com/meigara/263,淡い 良い すっぱい 小さい 暑い
101,麒麟山,麒麟山酒造,http://www.sakeno.com/meigara/135,美味しい 少ない 幅広い 辛い 良い
101,来福,来福酒造,http://www.sakeno.com/meigara/447,良い 近い 珍しい しつこい 美味しい
101,乾坤一,大沼酒造店,http://www.sakeno.com/meigara/1153,軽い 旨い 感慨深い たくましい 濃い
101,墨廼江,墨廼江酒造,http://www.sakeno.com/meigara/183,良い こい ない おいしい 高い
101,石鎚,石鎚酒造,http://www.sakeno.com/meigara/348,儚い ぬるい いい 幅広い 物足りない
101,初亀,初亀醸造,http://www.sakeno.com/meigara/728,くどい うまい 良い ない 可愛い
101,初孫,東北銘醸,http://www.sakeno.com/meigara/228,旨い 良い 美味しい いい よい
101,早瀬浦,三宅彦右衛門酒造,http://www.sakeno.com/meigara/675,やすい 旨い 重たい ほどよい 苦い
101,羽根屋,富美菊酒造,http://www.sakeno.com/meigara/1598,まるい 楽しい 美味しい 辛い うまい
101,天の戸,浅舞酒造,http://www.sakeno.com/meigara/210,薄い 細い 淡い 無い 旨い
101,佐久乃花,佐久の花酒造,http://www.sakeno.com/meigara/1131,良い 悔しい 新しい 無い 甘い
101,幻,中尾醸造,http://www.sakeno.com/meigara/1042,浅い いい 美味しい やすい ない
113,郷乃誉,須藤本家（茨城県）,http://www.sakeno.com/meigara/1081,良い 愉しい ない おいしい みずみずしい
113,諏訪泉,諏訪酒造,http://www.sakeno.com/meigara/949,丸い すごい よい ない 黒い
113,李白,李白酒造,http://www.sakeno.com/meigara/964,美味い ない おいしい 悲しい いい
113,酔心,酔心山根本店,http://www.sakeno.com/meigara/1044,甘い おいしい 可愛らしい 詳しい 大人しい
113,長珍,長珍酒造,http://www.sakeno.com/meigara/1594,厚い 丸い 難しい 少ない 甘い
113,呉春,呉春,http://www.sakeno.com/meigara/801,美味しい うまい 辛い 懐かしい 甘辛い
113,一白水成,福禄寿酒造,http://www.sakeno.com/meigara/1753,良い 大きい かっこいい 強い 明るい
113,不動,鍋店,http://www.sakeno.com/meigara/1599,上手い 臭い 美味しい ない 黒い
113,繁桝,高橋商店,http://www.sakeno.com/meigara/278,似つかわしい おめでたい 大人しい 軽い 渋い
