meigara_id,rank,meigara,yomi,kuramoto,prefecture,city,detail_url
63,61,満寿泉,ますいずみ,桝田酒造店,富山県,富山市,http://www.sakeno.com/meigara/621
64,64,勝駒,かちこま,清都酒造場,富山県,高岡市,http://www.sakeno.com/meigara/625
65,64,蓬莱泉,ほうらいせん,関谷醸造,愛知県,北設楽郡,http://www.sakeno.com/meigara/756
66,64,東光,とうこう,小嶋総本店,山形県,米沢市,http://www.sakeno.com/meigara/240
67,64,雅山流,がさんりゅう,新藤酒造店,山形県,米沢市,http://www.sakeno.com/meigara/245
68,64,緑川,みどりかわ,緑川酒造,新潟県,魚沼市,http://www.sakeno.com/meigara/584
69,64,正雪,しょうせつ,神沢川酒造場,静岡県,静岡市,http://www.sakeno.com/meigara/1102
70,70,まんさくの花,まんさくのはな,日の丸醸造,秋田県,横手市,http://www.sakeno.com/meigara/206
71,70,飛良泉,ひらいずみ,飛良泉本舗,秋田県,にかほ市,http://www.sakeno.com/meigara/196
72,70,七本槍,しちほんやり,冨田酒造,滋賀県,長浜市,http://www.sakeno.com/meigara/1211
73,70,澤乃井,さわのい,小澤酒造,東京都,青梅市,http://www.sakeno.com/meigara/112
74,70,遊穂,ゆうほ,御祖酒造,石川県,鹿島郡,http://www.sakeno.com/meigara/1300
75,70,あさ開,あさびらき,あさ開,岩手県,盛岡市,http://www.sakeno.com/meigara/27
76,70,姿,すがた,飯沼銘醸,栃木県,栃木市,http://www.sakeno.com/meigara/1616
77,77,南,みなみ,南酒造場,高知県,安芸郡,http://www.sakeno.com/meigara/378
78,77,宝剣,ほうけん,宝剣酒造,広島県,呉市,http://www.sakeno.com/meigara/1020
79,77,大那,だいな,菊の里酒造,栃木県,大田原市,http://www.sakeno.com/meigara/1473
80,77,越乃寒梅,こしのかんばい,石本酒造,新潟県,新潟市,http://www.sakeno.com/meigara/1169
81,77,春鹿,はるしか,今西清兵衛商店,奈良県,奈良市,http://www.sakeno.com/meigara/887
82,77,常きげん,じょうきげん,鹿野酒造,石川県,加賀市,http://www.sakeno.com/meigara/647
83,77,五橋,ごきょう,酒井酒造,山口県,岩国市,http://www.sakeno.com/meigara/928
84,77,加賀鳶,かがとび,福光屋,石川県,金沢市,http://www.sakeno.com/meigara/641
85,77,国権,こっけん,国権酒造,福島県,南会津郡,http://www.sakeno.com/meigara/391
86,77,刈穂,かりほ,刈穂酒造,秋田県,大仙市,http://www.sakeno.com/meigara/198
