"meigara_id","toukou_id","title","created_at","user_name","text"
127,5564,"本醸造","2015-06-09 09:02:21","オクトーバ","旨みいっぱいの辛口。燗より冷が飲みやすい。"
127,4606,"梅乃宿 純米大吟醸限定醸造生酒","2013-04-25 06:24:34","次亜酒仙","東京町田の「藤乃家」さんの利酒会2013年4月の出品酒&#9314; 梅乃宿 純米大吟醸限定醸造生酒 山田錦５０％、自社酵母 独自酵母の効果でしょうか？力強い、 しっかりとしたボディでした。"
127,3829,"温 純米酒","2011-02-16 09:07:28","オクトーバ","雑味など無く、クリアで綺麗で味の濃い酒だ。舌にピリリときそうな辛味が特徴。酸味など無く、ほんの少し甘味を感じる。もう一味辛味を引き立てる要素が必要。 "
127,3152,"特別純米 生&#37211; 仕込み二十七号","2009-06-28 21:22:20","エル・ドゥロ","ヨーグルトのような匂いに、やはり僅かに杉の匂いも混ざってきます。 ミルキーでクリーミーな香りもあります。 じゅわっと濃厚な甘みと、コクのある酸味でどっしりした味わいです。  甘みのある食べ物と合わせると酸味や苦味がたって相性が良くない、 しかし、珍味系と合わせると旨味が増して、美味いです。"
127,3149,"純米吟醸 袋吊り生原酒 露","2009-06-27 23:16:32","エル・ドゥロ","ほんのり杉の匂いがします。室か麹の箱を新調したのでしょうか！？ 木香様臭とは異なり、パッと抜けていきます。 その後はメロンのような香り、甘み中心でボディのしっかりした味わい。 ゆっくり柔らかく終わっていき、後口にすこし味が残りますが、 綺麗な甘さでこれもいいですね。  "
127,2861,"生もと純米生原酒","2008-11-29 19:43:14","三日酔い","山田錦80％精白のものです。かなり酸っぱい。甘みのないミカンのような味。雑味も感じますが、酸味がすぐに流していきます。２週間ほど放置すると酸味が穏やかになる分、甘味や辛味をしっかり感じられるようになりました。"
127,1122,"アンフィルタード","2006-02-12 21:06:55","ごえも〜ん","純米吟醸無濾過生原酒。 香りは控えめ、味わい十分な旨口のお酒だ。 うまい。"
