"meigara_id","toukou_id","title","created_at","user_name","text"
180,5990,"豊賀 純米吟醸 天女のしずく 生原酒","2016-04-25 21:31:42","富牟谷欠","豊賀 純米吟醸 天女のしずく 中取り無濾過生原酒 美山錦５９ 長野Ｃ酵母 ２７ＢＹ 仄かに葡萄様の匂い、含み香にふわりと。 やや酸が立気味の引き込み、ぎゅっと凝縮感。 旨ずっぱい味わい､バランス･纏まりよく､濃くて深い。 確りした酸とほろほろとくる苦みでセミドライに終始。 短い余韻、もたつきなく、すっとキレる。  今年は杜氏をされている奥さんが体調不良とのことですが、「とよかの味わい」です。 自分はこういう系がすごい好き、なので安定の美味しさが嬉しいです。 次期は全快でさらに美味しくなれ〜！ "
180,3527,"豊賀 とよかDスペック 純米大吟醸 ２１ＢＹ","2010-06-14 21:39:56","エル・ドゥロ","熟れたマスカットを思わせる香り、 その在り方は落ち着いていて品のよさを感じます。 含むと開けたてはチリっと直汲みらしいフレッシュ感、 そして、香味一体、ジューシーで濃厚な味わい。 終盤に僅かな苦みをみせ潔い後切れ、知らぬ間に進んでしまいました。 空気に馴染むと瑞々しい口当たりで、コクも豊かに膨らみます。  うーん、美味しい。。。。"
180,3461,"特別純米酒 直汲み無濾過生原酒 21BY","2010-04-09 22:37:12","エル・ドゥロ","熟れた葡萄の様な香りは穏やかに拡がります。 シュワっとフレッシュ、かつボディのある酸と甘旨みたっぷりの味わい。 苦渋もあるのですが、艶っぽい甘さが覆って角を感じさせません。 味の出はやや長くゆっくりフェードアウトします。  盃が進めば、やや苦みが気になるか！？ とはいえ荒削りな勢いがインパクトあって旨いです。 "
