"meigara_id","toukou_id","title","created_at","user_name","text"
159,6317,"特別純米 直詰め生 白","2017-02-09 20:32:10","ひなちゃん","含むとピチピチというよりビリッと来る強めのガス感、 オリっぽい甘味が中盤フワッと広がり、キレ良く引けます。 ガスの爽快感とキレを主体に構築されたようなテイストで、 割と何にでも合いそうな感じ。 面白いがクセになる、とりあえずビールと言ってしまいそうな勢いで とりあえず鳴海といってしまいそうな感じ（笑）。 良いっすね。"
159,6016,"特別純米直詰め生（白）","2016-05-10 19:15:14","すくなびこな","ふるさと納税御礼の品 ラムネ香が心地よい微炭酸生酒。 わりと辛口だが飲みやすいので杯が進む。 商品名の（白）は謎。 酒米は「ふさこがね」というものです。"
159,4576,"純米吟醸 無濾過（一度）火入れ","2013-04-07 20:29:53","216","アルコール度：15-16。精米歩合：50％。酒米：山田錦  香り華やかで、口当たり柔らか。 甘くて丸くてほんわかうまくち。 ぴっちぴちのフレッシュ．．．かと思いきや軽い渋み。  あまり出回って無いかもしれませんが、お薦め。"
