"meigara_id","toukou_id","title","created_at","user_name","text"
92,5133,"大吟醸 出羽燦々 33%","2014-07-06 03:29:10","団子坂下","以前つや姫を飲んだことがあった。 あれあれで旨かったが、少々甘すぎる嫌いがあり、初心者にはお勧めできる ものの飲みなれた人にはどうだろうかという懸念があった。 一方でこちらは本当に万人にお勧めできる酒だ。 私の貧困な語彙では伝えきれないが、本当に旨い酒だ。 減る量が早すぎて。"
92,5080,"秀鳳 大吟醸酒 つや姫45％","2014-05-17 05:53:17","団子坂下","一瞬リキュールかと思うぐらいの強烈な甘さ。 苺のようなフレッシュな味わい。クドさを感じないギリギリ のところだと思う。これはこれで美味い。 普段お酒を飲みなれてない方へおすすめです。"
92,3612,"大吟醸 袋取り しずく酒 21BY","2010-09-06 20:26:02","エル・ドゥロ","開けたて、極々僅かに気になるにおいがありましたが、 その後は落ち着き、曇りなき透明感を感じました。  大吟醸らしいベルベットのような質感があります。 香味一体、華やかさ甘やかさが序盤に弾けるように膨らみます。 が、収束は早くあっという間に上方に抜け消えていきます。  非常に満足の一本でした。   "
92,3426,"秀鳳 特別純米 雄町 無濾過中汲み 生原酒","2010-03-14 21:16:13","マッチョスナフキン","いやあ、んめ(><) ねっとり熟した果実のような甘い香り！雄町の複雑だがまとまりのある深い味わい！くどくないのはピリリとした無濾過生原酒様々のフレッシュさのおかげか。ちょいピリが心地よい。ほんのちょいピリ。ちょいピ。 そいえばどんなに酔っぱらかして舌がヘロヘロになった時でも秀鳳の無濾過生シリーズでムムムとなるなあ。"
92,3242,"純米大吟醸 玉苗 生原酒","2009-09-12 20:35:24","エル・ドゥロ","洋梨のようなフルーティーな香りに、 瑞々しい口当たりでとてもフレッシュです。 香り酵母に独特の油っぽいにおいがほんの少しあるのですが、 華やかな香りでさほど気にはなりません。  生原酒ながら、味幅､厚み共に適度に締まっており、 特に終盤に来る果実を感じさせる酸味が良いバランスです。  この味わいにこの値段はコスパ高いです。"
92,3122,"純米大吟醸 出羽燦々３３％ 生","2009-06-16 21:26:56","エル・ドゥロ","出羽燦々３３％３３３３円(税別)３月３日解禁！という企画ものです。 他蔵の同一企画は有名ですが、こちらはあまり見かけずレアですね。  ３月中旬に開けたときは薫り高く、軽やかな口当たりはよいものの、 苦味が浮いたり、あとから渋みがひっかかったりしました。 封印して２０日ほど置いたものは、香りは衰えず味もこなれて美味しい！ まさにフルーティーでジューシー、さらに日に日に美味しくなりました。  この企画はずっと続けて欲しいです！！ "
92,2854,"特別純米・美山錦・無濾過","2008-11-29 11:39:32","飲兵衛hide","グランプリ蔵に惹かれ試しに購入。実に良く出来た特別純米酒です。旨い！フル−ティ-な香り良し、飲み口良し、喉越し良し、後口にほんのり甘さがあり、これまた良し。貴腐葡萄酒に似た味わいでした。すばらしい！プレミア酒蔵に負けていません。もっと上ランクものも飲んでみたくなりました。山形酒は本当に旨いですね！！"
92,2584,"秀鳳 純米吟醸 出羽燦々 生原酒","2008-06-19 01:28:58","朱雀","試飲したときは美味しいと思い買ったのだが、、、 初めの一杯は、とても美味しく感じられたが、ニ・三杯と飲み進めるとだるい甘さを感じる。食中酒としては難しいと思う。"
92,2401,"大吟醸 袋取りしずく酒 生","2008-03-31 22:12:17","bogeyman","正月に、ちょい高めのお酒を買ってみました。   これ、美味しいですねー！！ 甘口ですが、「しずく」らしくフレッシュでジューシー。 美味しさが、身に染み渡ります。 スッキリした飲み口ですが、アル添を感じさせないレベルです。 これなら値段も納得！ また買いたくなる満足いく一本でした。   "
92,2036,"秀鳳 特別純米 美山錦 無濾過 生原酒","2007-12-16 20:21:48","マッチョスナフキン","美味い。旨い。上手い。 無濾過の原酒の生なので酒の力強さが半端ない！ 生酒の良さはオーディオで言うと、BASSとTREBLEをMAXに上げた状態とでも言うのでしょうか。旨味が前面に押し出してまいります。 それでいて繊細、フルーティ。後からくる辛みも良し。 丁寧だから原酒にありがちな男酒臭さがない。 これはいいぞ！最高のパフォーマー！ 山形に酒の旅に出て出逢ったお酒。 一升瓶買って良かった。 次は物無くて買えないかも。 正月までとっとこ。 "
92,1282,"特別純米無濾過 雄町","2006-07-09 17:21:18","コレッシュ"," 雄町米の甘みや香り高い特質が良く出ていて、かなり丁寧に作られていると思いました。久々に美味しい日本酒に巡り会えたって感じです。"
