"meigara_id","toukou_id","title","created_at","user_name","text"
114,4110,"純米吟醸 満天星","2012-01-01 10:17:15","三日酔い","２０ＢＹです。甘味は穏やかで酸味は丸く、珠の様で引っかかるところがありません。醤油の様な熟成感と僅かに果実の様な風味が同居しています。"
114,1905,"満点星","2007-09-26 00:03:13","はやと","とある教えに従ってぬる燗でいただきましたら、これがとても旨みと切れが絶妙のバランスを保ち、本当に飲み飽きないとはこのことぞと実感した次第です。 ２種の米のブレンドのなせる技なのか、微妙でかつしっかりとした味わいが楽しめ、食中酒としてはまさに満点ではないでしょうか。"
114,1345,"田中農場 純米","2006-09-04 00:02:01","ごえも〜ん","７０％精米 名前に惹かれて、盛岡の名店「大たる」にていただく。 なんとすごいあっさり味だ。ほどよい酸と後味もすっきり。 なんとよくよく見たら、鳥取なのに諏訪で有名な、諏訪泉ではないか。初めて飲んだ。 精米具合では考えられない高品質。これはお勧めだ。 "
