"meigara_id","toukou_id","title","created_at","user_name","text"
147,3092,"山廃仕込 純米吟醸 中汲み生原酒","2009-05-14 23:16:37","エル・ドゥロ","山田錦５５の１９ＢＹ。 とにかく旨みがすごい。 しっかりどっしりしていてキレもあります。 "
147,3091,"特別純米 中汲み 生原酒","2009-05-14 23:02:45","エル・ドゥロ","不老泉の特純といえば「たかね錦６０」でしたが、 この２０ＢＹは山田錦６０とのこと。  ２０ＢＹの生がこの時点でまだ若くて浮つく感じがするのが不老泉らしいですが、柔らかくふくらむ味わいも独特で美味しいです。 "
147,2866,"山廃特別純米生原酒","2008-12-01 19:52:47","三日酔い","13BYの物をいただきました。わずかにチョコレートのような風味があります。味が多いですがそんなに口の中に残りません。きれいに枯れています。"
147,2752,"木舟天秤搾り","2008-09-14 11:42:08","９０７L-EXTRA","紫色のラベルの物です。この酒は口の中で酸味の広がり方が特徴的です。 さすが地元の鮒寿司に合いそうだな、と思いました。"
147,1824,"不老泉 山廃純米吟醸 備前雄町 無濾過生原酒","2007-07-23 22:40:25","all that jazz","梅の花を想わせる甘酸っぱい含み香。  甘味と旨味が口中に拡がる。数値ほど酸味は強くない。  時間が経つにつれ、キャラメルのような香りが現われる。  酵母添加を行わず、蔵に住む天然酵母を使用した  本格的な山廃で仕込まれた酒。   "
147,807,"亀亀覇 亀の尾 純米吟醸 無濾過生原酒","2005-04-10 21:17:45","all that jazz","上原酒造といえば山廃仕込だが、これは速醸の亀の尾純米吟醸生原酒を２年間定温熟成させたもの。 トロッとした口当たりで、一口目は『グッ』とくる強さを感じるが、杯がすすむにつれ熟成したバナナ様の香りが口中に広がる旨口の酒。"
147,773,"特別純米酒 山廃仕込 参年熟成 ","2005-04-02 16:09:55","all that jazz","酵母無添加の自然造りの山廃純米を３年ねかせた酒。 特徴のある山廃香と風味がある。 口に入れた瞬間はあっさりした感じがしたが、二口、三口と進むにつれ、山廃の独特な風味が現れる。 かといって、変な『クセ』のある味ではなく、濃い目の純米酒好きにはお勧めの酒。 飲みくちすっきり、口中豊潤、後口さっぱり。旨いですよ〜。"
